#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,d'obligacions reconegudes
3370,468001,ACEM (ASSOCIACIÓ CULTURAL PER A L'ENTRETENIMENT MUSICAL),2000.0,0.0,2000.0,0.0
3370,468002,ALTRES SUBVENCIONS DE JOVENTUT,1500.0,0.0,1500.0,800.0
3410,130000,RETRIBUCIONS PERSONAL FIXE SERVEI D'ESPORTS,22000.0,2000.0,24000.0,0.0
3410,131000,RETRIBUCIONS PERSONAL EVENTUAL SERVEI D'ESPORTS,130000.0,28500.0,158500.0,0.0
3410,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS DESTINATS ESPORTS,40000.0,0.0,40000.0,2582.1
3410,221020,SUBM.COMBUSTIBLE EDIFICIS DESTINATS A ESPORTS,27000.0,0.0,27000.0,0.0
3410,226990,DESPESES DE FUNCIONAMENT ESPORTS,23000.0,-6000.0,17000.0,0.0
3410,227990,SERVEI PISCINES MUNICIPALS,100.0,0.0,100.0,0.0
3410,468000,CF MONTMELÓ UE,16000.0,0.0,16000.0,14720.0
3410,468001,MONTMELÓ CLUB BÀSQUET,5200.0,0.0,5200.0,4500.0
3410,468002,ASSOCIACIÓ ESPORTIVA MONTMELÓ,4800.0,0.0,4800.0,840.0
3410,468003,CLUB ESCACS MONTMELÓ,1200.0,0.0,1200.0,400.0
3410,468004,CLUB PETANCA MONTMELÓ,1450.0,0.0,1450.0,850.0
3410,468006,PENYA BLAUGRANA MONTMELÓ,3375.0,0.0,3375.0,2193.74
3410,468008,PENYA PERICOS,400.0,0.0,400.0,0.0
3410,468009,CLUB BILLAR MONTMELÓ,800.0,0.0,800.0,0.0
3410,468010,MONTMELÓ ASSOCIACIÓ RÍTMICA,700.0,0.0,700.0,700.0
3410,468011,CLUB DE BOXA,500.0,0.0,500.0,0.0
4320,226990,DESPESES DE FUNCIONAMENT SERVEI DE TURISME,1000.0,0.0,1000.0,0.0
4320,467000,APORTACIÓ CONSORCI PROMOCIÓ DEL TURISME DEL VALLÈS ORIENTAL,300.0,0.0,300.0,0.0
4390,226990,DESPESES DE FUNCIONAMENT COMERÇ,4000.0,0.0,4000.0,0.0
4390,226991,DINAMITZACIÓ MERCAT SETMANAL,2000.0,0.0,2000.0,0.0
4390,226992,DESPESES DE FIRES DE COMERÇ I ARTESANIA,6000.0,0.0,6000.0,0.0
4390,480000,DINAMITZACIÓ COMERCIAL,3000.0,0.0,3000.0,1000.0
4410,226990,DESPESES DE FUNCIONAMENT MOBILITAT SOSTENIBLE,2000.0,0.0,2000.0,0.0
4410,226991,CAMPANYES FOMENT A LA MOBILITAT SOSTENIBLE,2000.0,0.0,2000.0,0.0
4410,226992,DESPESES SENYALITZACIÓ CAMINS DE MONTMELÓ,2000.0,-1500.0,500.0,0.0
4410,227991,PLA DE MOBILITAT,1000.0,0.0,1000.0,0.0
4590,226090,"DESPESES ACTIVITATS CIRCUIT DE CATALUNYA (G. PREMIS, ETC..)",31000.0,25000.0,56000.0,0.0
4590,227000,PAGAMENT CANON AIGUA,295000.0,-14000.0,281000.0,0.0
4590,449000,APORTACIÓ EMPRESA MUNICIPAL DE SERVEIS I OBRES,1604000.0,204600.0,1808600.0,0.0
4590,610200,PROJECTE MILLORA XARXA AIGUA POLÍGON EL PEDREGAR,0.0,1000847.17,1000847.17,0.0
4590,770000,CONSTRUCCIÓ DIPÒSIT AIGUA,0.0,20124.57,20124.57,0.0
9120,100000,ASSIGNACIONS CARRECS POLITICS,100000.0,0.0,100000.0,0.0
9120,226010,PROTOCOL ALCALDIA,4000.0,2500.0,6500.0,0.0
9120,230000,DIETES ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0
9120,231000,DESPESES LOCOMOCIÓ ÒRGANS DE GOVERN,500.0,0.0,500.0,0.0
9200,120000,BASIQUES FUNCIONARIS SERVEIS GENERALS,72000.0,0.0,72000.0,0.0
9200,121000,COMPLEMENT. FUNCIONARIS SERVEIS GENERALS,145000.0,12500.0,157500.0,0.0
9200,130000,RETRIBUCIONS PERSONAL FIXE SERVEIS GENERALS,405000.0,-31500.0,373500.0,0.0
9200,131000,RETRIBUCIONS PERSONAL EVENTUAL SERVEIS GENERALS,64000.0,42000.0,106000.0,0.0
9200,151000,GRATIFICACIONS HORES EXTRES,10000.0,45500.0,55500.0,0.0
9200,151100,PAGA EXTRA MERITADA 2012,58500.0,-58500.0,0.0,0.0
9200,160000,QUOTES CORPORACIO SEGURETAT SOCIAL,871600.0,-80000.0,791600.0,0.0
9200,162000,FORMACIO I PERFECCIONAMENT PERSONAL FUNC,1500.0,0.0,1500.0,0.0
9200,162001,FORMACIO I PERFECCIONAMENT PERSONAL LABORAL,1000.0,0.0,1000.0,0.0
9200,162090,ALTRES DESPESES SOCIALS,3000.0,11500.0,14500.0,0.0
9200,202000,LLOGUERS IMMOBLES,16000.0,700.0,16700.0,0.0
9200,204000,RÈNTING VEHICLES MUNICIPALS,43000.0,0.0,43000.0,0.0
9200,204100,RÈNTING ENLLUMENAT PÚBLIC,30000.0,-30000.0,0.0,0.0
9200,206000,"RÈNTING INFORMÀTICA, EQUIPS OFICINA, ETC",16700.0,-4200.0,12500.0,0.0
9200,216000,MANTENIMENT DEL SISTEMA INFORMÀTIC,5750.0,-4000.0,1750.0,0.0
9200,219000,ESTRIS I CONSERVACIÓ MATERIAL SERVEIS GENERALS,1000.0,0.0,1000.0,0.0
9200,220000,MATERIAL D'OFICINA SERVEIS GENERALS,9000.0,0.0,9000.0,0.0
9200,220010,"LLIBRES, REVISTES I ALTRES PUBLICACIONS",1000.0,0.0,1000.0,0.0
9200,220020,MATERIAL INFORMÀTIC NO INVENTARIABLE,1000.0,1800.0,2800.0,0.0
9200,221000,SUBMINISTRAMENT ELÈCTRIC DEPENDÈNCIES S. GENERALS,37000.0,0.0,37000.0,0.0
9200,221001,SUBMINISTRAMENT ELÈCTRIC ALTRES DEPENDÈNCIES,17000.0,4500.0,21500.0,0.0
9200,221020,SUBM.COMBUSTIBLE DEPENDÈNCIES SERVEIS GENERALS,13000.0,0.0,13000.0,0.0
9200,221040,VESTUARI,1000.0,300.0,1300.0,0.0
9200,222000,"TELÈFONS, FAX I CORREU",44000.0,-22200.0,21800.0,0.0
9200,222990,SERVEIS DE MISSATGERS,16500.0,0.0,16500.0,0.0
9200,224000,ASSEGURANCES PARC MÒBIL,2000.0,0.0,2000.0,0.0
9200,224001,ASSEGURANCES EDIFICIS,6000.0,0.0,6000.0,0.0
9200,224002,ASSEGURANCES RESPONSABILITAT CIVIL,10000.0,0.0,10000.0,0.0
9200,224003,ASSEGURANCES PERSONAL,4800.0,0.0,4800.0,0.0
9200,224004,ALTRES ASSEGURANCES,6200.0,1300.0,7500.0,0.0
9200,226030,ANUNCIS EN BUTLLETINS OFICIALS  I MITJANS COMUNICACIÓ,3000.0,0.0,3000.0,0.0
9200,226040,"HONORARIS SERVEIS JURÍDICS, NOTARIALS I REGISTRALS",25000.0,46000.0,71000.0,7000.0
9200,226990,DESPESES FUNCIONAMENT SERVEIS GENERALS,10000.0,1500.0,11500.0,0.0
9200,226991,DESPESES COMUNITATS DE PROPIETARIS,5000.0,0.0,5000.0,0.0
9200,226992,"DESPESES SINISTRES VIA PÚBLICA, VEHICLES, ETC.",6000.0,-1800.0,4200.0,0.0
9200,226993,DESPESES FUNCIONAMENT URBANISME,1500.0,0.0,1500.0,0.0
9200,226994,DESPESES PER EXECUCIO SUBSIDIÀRIA D'OBRES,6000.0,-1000.0,5000.0,0.0
9200,227000,DESPESES DE PARTICIPACIÓ CIUTADANA,18000.0,0.0,18000.0,0.0
9200,227080,SERVEIS DE RECAPTACIÓ ORGANISME AUTÒNOM,150000.0,0.0,150000.0,0.0
9200,227990,CONTRACTES DE MANTENIMENT DIVERSOS SERVEIS,143000.0,14000.0,157000.0,13961.9
9200,227991,SERVEIS D'ADMINISTRACIÓ GENERAL,21000.0,0.0,21000.0,7768.31
9200,227992,SERVEIS MANTENIMENT SISTEMA INFORMÀTIC,43000.0,6000.0,49000.0,9075.0
9200,227993,SERVEI MANTENIMENT EQUIPS MULTIFUNCIÓ,20000.0,0.0,20000.0,2958.62
9200,227994,ALTRES SERVEIS INFORMÀTICS,38000.0,0.0,38000.0,6914.28
9200,227995,PREVENCIÓ DE SALUT I RISCOS LABORALS,10000.0,-2700.0,7300.0,1285.73
9200,227996,DESPESES SERVEIS CREU ROJA,100.0,0.0,100.0,0.0
9200,227997,PLANS AUTOPROTECCIÓ,5000.0,0.0,5000.0,0.0
9200,230200,DIETES PERSONAL ADMINISTRACIÓ GENERAL,500.0,0.0,500.0,0.0
9200,231200,DESPESES LOCOMOCIÓ ADMINISTRACIÓ GENERAL,2000.0,0.0,2000.0,0.0
9200,462000,ALTRES SUBVENCIONS ADMINISTRACIONS LOCALS,100.0,0.0,100.0,0.0
9200,466000,FEDERACIÓ DE MUNICIPIS DE CATALUNYA,1800.0,0.0,1800.0,0.0
9200,466001,ASSOCIACIÓ CATALANA DE MUNICIPIS I COMARQUES,1500.0,0.0,1500.0,0.0
9200,480000,SUBVENCIÓ GRUPS POLÍTICS MUNICIPALS,45600.0,0.0,45600.0,45600.0
9200,480003,TRANSFERÈNCIA HABITAPARETS,7600.0,0.0,7600.0,7565.26
9200,480004,SUBVENCIÓ ASSOCIACIÓ DESOCUPATS DE MONTMELO,100.0,0.0,100.0,0.0
9200,480005,SUBVENCIO BANC DEL TEMPS,500.0,0.0,500.0,0.0
9200,480006,ALTRES SUBVENCIONS ENTITATS,2400.0,0.0,2400.0,1295.0
9200,610000,INVERSIONS 2014,200000.0,537935.0,737935.0,155112.1
9200,610500,ANELLA VERDA,0.0,23875.0,23875.0,0.0
9200,619000,PROJECTE AMPLIACIÓ CAN DOTRAS,0.0,30250.0,30250.0,27225.0
9200,632000,TANCAMENT PISTA ESPORTIVA,0.0,296605.0,296605.0,0.0
9200,632100,CENTRE JUVENIL,0.0,215540.0,215540.0,46096.7
9240,226020,"PUBLICITAT, PROPAGANDA, BUTLLETINS, CALENDARIS I ALTRES",25000.0,-6000.0,19000.0,0.0
9240,226990,DESPESES DE FUNCIONAMENT SERVEI DE COMUNICACIÓ,1000.0,0.0,1000.0,0.0
9240,226991,PRESTACIÓ SERVEIS DISSENY I  COMUNICACIÓ,21000.0,0.0,21000.0,0.0
9240,467000,APORTACIÓ CONSORCI LOCALRET,1100.0,0.0,1100.0,0.0
9240,467001,APORTACIÓ CONSORCI TELEDIGITAL MOLLET,81500.0,1300.0,82800.0,62675.54
9290,270000,FONS DE CONTINGENCIA,181250.0,-181200.0,50.0,0.0
#,,T O T A L S,11367200.0,2162776.74,13529976.74,1260806.56
