#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes,Pagaments fets
1620,467006,SERVEI DE RECOLLIDA FRACCIÓ RESTA I FRACCIÓ ORGÀNICA,180000,21100,201100,220020.6,0
1620,467007,SERVEI DE VOLUMINOSOS I ELIMINACIÓ RESIDUS BANALS,25500,0,25500,27140.69,0
1620,467008,QUOTA MUNICIPIS ADHERITS,26000,0,26000,25047.36,0
1620,467009,DESPESES CONTENIDORS CÀRREGA LATERAL,37500,0,37500,33989.45,33989.45
1620,467010,SERVEI RECOLLIDA FRACCIÓ ORGÀNICA COMERCIAL I MERCAT,37000,0,37000,34381.07,0
1620,467011,GESTIÓ DE RESIDUS GENERALS,15000,0,15000,19202.86,14480.78
1620,467012,TRANFERENCIES CONSORCI DE RESIDUS,0,185654.54,185654.54,185654.54,185654.54
1630,131000,RETRIBUCIONS PERSONAL TEMPORAL NETEJA VIÀRIA,137179,8400,145579,148141.73,148141.73
1650,210000,MANTENIMENT I CONSERVACIÓ ENLLUMENAT PÚBLIC,20000,2400,22400,21553.6,20982.08
1650,221000,SUBMINISTRAMENT ELÈCTRIC ENLLUMENAT PÚBLIC,110000,-2000,108000,116111.51,102613.98
1650,221001,MANTENIMENT ENLLUMENAT DE NADAL,6000,3000,9000,7399.86,7345.62
1700,226990,DESPESES DE FUNCIONAMENT MEDI AMBIENT,4000,0,4000,1700.95,1700.95
1710,210000,"PARCS, JARDINS I CAMINS",55000,0,55000,55149.24,53778.08
1720,467000,APORTACIÓ CONCORCI CONCA RIU BESOS,150,0,150,0,0
1720,467001,CONVENI GESTIÓ ENERGÈTICA CONSELL COMARCAL,2200,0,2200,0,0
2300,120000,RETRIBUCIONS BÀSIQUES FUNCIONARIS ACCIÓ SOCIAL,20175,11700,31875,42599.92,42599.92
2300,121000,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS SERVEIS SOCIALS,35505,3400,38905,40980.43,40980.43
2300,131000,RETRIBUCIONS BASIQUES PERSONAL TEMPORAL ACCIÓ SOCIAL,311540,-30800,280740,276645.08,276645.08
2310,212000,MANTENIMENT I CONSERVACIÓ EDIFICIS ACCIÓ SOCIAL,2500,3500,6000,6494.18,6370.94
2310,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS SERVEIS SOCIALS,7500,0,7500,4702.97,4467.02
2310,221020,SUBM. COMBUSTIBLE EDIFICIS DESTINATS ACCIÓ SOCIAL,2000,1000,3000,2771.97,2771.97
2310,226991,DESPESES FUNCIONAMENT ACCIO SOCIAL,4000,0,4000,1323.3,1134.3
2310,410000,APORTACIÓ RESIDÈNCIA CAN DOTRAS,149000,30000,179000,169000,169000
2310,480000,ASSISTÈNCIA SOCIAL,40000,0,40000,26990.91,19864.01
2310,480001,APORTACIÓ FONS DE SOLIDARITAT I COOPERACIÓ,750,125,875,875,875
2310,480002,BEQUES LLIBRES ESCOLARS,10000,0,10000,8963.05,8963.05
2310,480003,CONVENI INTERADMINISTRATIU SERVEIS SOCIALS,7650,0,7650,2035.91,0
2310,480004,ASSOCIACIÓ DE PARES FILLS DISCAPACITATS,2200,0,2200,2200,2200
2310,480005,APORTACIÓ CARITAS,6500,0,6500,0,0
2310,480009,ASSOCIACIÓ GENT GRAN DE MONTMELÓ,2000,0,2000,2000,0
2310,480010,PROJECTES REHABILITACIÓ HABITATGES GENT GRAN,3500,-1500,2000,1942.34,1942.34
2310,480011,SUBVENCIÓ IMPOST BÉNS IMMOLBES,12650,-4600,8050,7972.65,7972.65
2310,480012,AJUTS AL LLOGUER,25000,-4000,21000,20908.2,20908.2
2310,480013,APORTACIÓ ONCOVALLÈS,3000,0,3000,2000,2000
2310,480015,TARJETA MONEDER D'IMPACTE SOCIAL,19000,-6400,12600,5891.74,5891.74
2320,226993,DESPESES FUNCIONAMENT SOLIDARITAT I COOPERACIÓ,2000,-1000,1000,526.19,526.19
2320,226994,DESPESES DE FUNCIONAMENT POLITIQUES D'IGUALTAT,4000,0,4000,735.52,735.52
2320,227992,AJUTS MEJADOR A LES ESCOLES,36000,7100,43100,46897.79,46897.79
2320,227993,AJUST DE MENJADOR ESCOLA BRESSOL,9000,0,9000,5405.05,4824.46
2320,227995,AJUSTS ESTADA ESCOLA BRESSOL,11000,4400,15400,16922.02,15373.26
2330,226990,DESPESES SERVEI TELEASSISTÈNCIA,19000,0,19000,18920.53,17251.08
2330,226992,DESPESES HOMENATGE GENT GRAN,7000,3000,10000,9835.41,9835.41
2330,226995,DESPESES FUNCIONAMENT CASAL GENT GRAN,11000,-1000,10000,8797.98,8797.98
2330,226996,DESPESES SERVEI DINAR EN COMPANYIA,45000,0,45000,36104.4,36104.4
2330,226997,SERBEI D'ÀPATS A DOMICILI,21000,-21000,0,0,0
2330,227990,SERVEI PUNT DONA,13000,0,13000,12726.9,11553
2330,227991,PRESTACIÓ SERVEIS CENTRE DE DISCAPACITATS,250000,0,250000,254000,254000
2330,227992,PRESTACIÓ DE SERVEIS AL PROJECTE SODIOEDUCATIU,24000,20000,44000,44478.32,40564.16
2410,143100,MESURES ESPECIALS FOMENT DE L'OCUPACIÓ,134317,-29900,104417,95711.57,95711.57
2410,212000,MANTENIMENT I CONSERVACIÓ EDIFICIS PROMOCIÓ ECONÒMICA,8000,-3500,4500,2917.61,2917.61
2410,226990,DESPESES FUNCIONAMENT PROMOCIÓ ECONÒMICA,2000,0,2000,542.1,542.1
2410,226992,DESPESES DE FORMACIÓ OCUPACIONAL PRÒPIA,30000,-12500,17500,12629,12197
2410,470000,MESURES ESPECIALS PROMOCIÓ OCUPACIÓ (EMPRESES),15000,0,15000,11172.93,1931.76
2410,470001,DESPESES FOMENT DE L'OCUPACIÓ,14000,0,14000,11048.21,0
3110,226990,DESPESES FUNCIONAMENT SERVEI SALUT PUBL. COMUNITÀRIA,2500,0,2500,1928.31,1928.31
3110,227990,SERVEIS DE RECOLLIDA D'ANIMALS DOMÈSTICS,2500,0,2500,3350,3350
3110,227991,SERVEI DE CONTROL DE COLÒNIES DE GATS,4000,1475,5475,5475,5475
3110,227992,"SERVEIS DE DESRATITZACIÓ, DESINFECCIÓ, ETC",14500,0,14500,13584.78,13584.78
3110,227993,PRESTACIÓ SERVEIS INSPECCIÓ LEGIONEL·LOSI,13000,9000,22000,18049.57,18049.57
3200,120000,BÀSIQUES FUNCIONARIS EDUCACIÓ,7380,0,7380,8611.34,8611.34
3200,121000,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS EDUCACIÓ,7912,0,7912,6856.52,6856.52
3200,212000,MANTENIMENT EDIFICIS ESCOLARS,12000,5500,17500,18117.95,17888.05
3200,226990,DESPESES DE FUNCIONAMENT EDUCACIÓ,12000,2500,14500,13545.63,13074.98
3200,467000,APORTACIÓ CONSORCI ASSOCIAT DE LA UNED,18000,0,18000,18000,0
3200,468000,SUBVENCIÓ ESCOLA PAU CASALS,8000,0,8000,8000,8000
3200,468001,SUBVENCIÓ ESCOLA SANT JORDI,8000,0,8000,8000,8000
3200,468002,SUBVENCIÓ INSTITUT MONTMELÓ,9000,0,9000,9000,0
3200,468003,SUBVENCIONS AMPA ESCOLES PÚBLIQUES,14500,0,14500,14500,0
3200,468004,AMPA INSTITUT MONTMELÓ (beca d'estudis),2500,0,2500,2517.81,2517.81
3210,221000,SUBMINISTRAMENT ELECTRIC EDIFICIS ESCOLARS,40000,0,40000,35540.53,31077.55
3210,221020,SUBMINISTRAMENT GAS EDIFICIS ESCOLARS,38000,3700,41700,42232.61,42232.61
3240,130000,RETRIBUCIONS BASIQUES PERSONAL FIXE ESCOLA D'ADULTS,0,0,0,378.52,378.52
3240,130001,RETRIBUCIONS PERSONAL FIXE ESCOLA DE MÚSICA,46192,-1100,45092,45090.84,45090.84
3240,131000,RETRIBUCIONS BASIQUES PERSONAL TEMPORAL ESCOLA DE MÚSICA,73267,2500,75767,76011.46,76011.46
3240,131001,RETRIBUCIONS PERSONAL TEMPORAL ESCOLA D'ADULTS,123134,4500,127634,126811.25,126811.25
3240,226991,DESPESES DE FUNCIONAMENT ESCOLA DE MÚSICA,9500,0,9500,10752.41,9792.41
3240,227990,PRESTACIÓ SERVEIS EDUCATIUS ESCOLA BRESSOL,190000,0,190000,190000,190000
3300,120000,BÀSIQUES FUNCIONARIS CULTURA I JOVENTUT,24668,1800,26468,29597.51,29597.51
3300,121000,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS CULTURA I JOVENTUT,41469,-800,40669,37274.71,37274.71
3300,131000,RETRIBUCIONS PERSONAL TEMPORAL CULTURA I JOVENTUT,234285,-1100,233185,232350.11,232350.11
3334,212000,MANTENIMENT EDIFICIS CULTURALS,5000,8750,13750,7174.5,6695.34
3334,221000,ENERGIA ELECTRICA EDIFICIS CULTURALS,32000,0,32000,32745.6,30217.34
3334,221020,SUBMINISTRAMENT GAS EDIFICIS CULTURALS,8500,1100,9600,10252.24,10252.24
3334,226990,DESPESES DE FUNCIONAMENT CULTURA,40400,-20000,20400,18873.53,18047.05
3340,226992,DESPESES MONITORS TALLERS,50000,0,50000,46344.97,45531.85
3340,467000,CONSORCI NORMALITZACIÓ LINGÜÍSTICA,8800,0,8800,8205.32,0
3340,468000,L'AGRUPA,1950,0,1950,1950,0
3340,468001,LUDUS HISTORIAE,1200,0,1200,1200,0
3340,468002,XARXA,3450,0,3450,3450,1254.08
3340,468003,PENYA BLAUGRANA MONTMELÓ,1950,0,1950,1950,1950
3340,468004,COLLA DE GEGANTERS DE MONTMELÓ,2350,0,2350,2350,1175
3340,468005,ESBART DANSAIRE MONTMELÓ,1375,0,1375,1375,1375
3340,468006,COLLA DE DIABLES DE MONTMELÓ,2650,0,2650,2650,1325
3340,468007,ENTITATS ACTIVITATS DE NADAL,1000,0,1000,1000,1000
3340,468008,SUBVENCIÓ SOLIDARITÉ,1000,0,1000,0,0
3340,468009,CENTRE D'ESTUDIS MONTMELÓ,2000,0,2000,0,0
3340,468010,COL·LECTIU LA SAL,200,0,200,192.33,192.33
3340,468011,MONTMELÓ CULTURA I TRADICIÓ,5500,0,5500,5500,2750
3340,468012,CLÀSSICS MONTMELÓ,1000,0,1000,1000,0
3340,468013,PENYA PERICOS,400,0,400,400,0
3340,468014,PENYA MADRIDISTA,300,0,300,300,0
3340,468016,"FUNDACIÓ PRIVADA CULTURAL DE GRANOLLERS, AC",4200,0,4200,4030.75,4030.75
3360,226991,DESPESES FUNCIONAMENT PATRIMONI CULTURAL,4500,0,4500,7544.63,7016.53
3360,226997,DESPESES FUNCIONAMENT MONS OBSERVANS CAN TACÓ,7000,-2300,4700,4293.73,3621.66
3360,227000,PRESTACIÓ SERVEIS MONS OBSERVANS CAN TACÓ,24000,10000,34000,32812.1,32348.1
3370,212000,MANTENIMENT EDIFICIS JUVENILS,2000,0,2000,1136.05,1136.05
3370,221000,ENERGIA ELECTRICA CENTRE JUVENIL,6000,0,6000,5775.73,5371.52
3370,226990,DESPESES DE FUNCIONAMENT SERVEI JOVENTUT,10000,-5750,4250,2496.36,1005.64
3370,226992,CASAL D'ESTIU I JOVE,11500,250,11750,11650.3,11650.3
3370,226993,PARC DE NADAL,10000,6000,16000,15969.46,13980.64
3370,227000,PRESTACIÓ CENTRE JUVENIL,30000,0,30000,23063.77,18405.44
3370,468000,CIJ ESPLAIA'T,8000,0,8000,8000,4000
3370,468002,ALTRES SUBVENCIONS DE JOVENTUT,2200,0,2200,1200,600
3380,226993,FESTA MAJOR,93000,2500,95500,95328.59,95328.59
3380,226994,CARNESTOLTES,18000,-1300,16700,16591.4,16591.4
3380,226995,ALTRES FESTES TRADICIONALS,50000,-2900,47100,45759.59,45759.59
3380,226996,CONSUM CULTURAL,70000,-5000,65000,83083.51,63439.5
3400,120000,RETRIBUCIONS BÀSIQUES FUNCIONARIS ESPORTS,8796,0,8796,10782.13,10782.13
3400,121000,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS ESPORTS,12918,0,12918,11394.97,11394.97
3400,131000,RETRIBUCIONS PERSONAL TEMPORAL ESPORTS,148436,23400,171836,172487.87,172487.87
3410,212000,MANTENIMENT INSTAL·LACIONS ESPORTIVES,10500,2700,13200,12611.82,10996.47
3410,212001,MANTENIMENT PISCINES MUNICIPALS,7500,7600,15100,14958.89,14958.89
3410,226990,DESPESES DE FUNCIONAMENT ESPORTS,13700,-3000,10700,10025.43,10025.43
3410,468000,SUBVENCIONS ENTITATS ESPORTIVES,35725,0,35725,36571.89,5400
3420,221000,SUBMINISTRAMENT ELECTRIC INSTAL·LACIONS ESPORTIVES,42000,-3000,39000,30205.38,27438.86
3420,221020,SUBMINISTRAMENT GAS INSTAL·LACIONS ESPORTIVES,20000,1100,21100,21068.51,21068.51
3420,227990,SERVEI PISCINES MUNICIPALS,22000,0,22000,21371.42,21371.42
4310,226990,DESPESES E FUNCIONAMENT COMERÇ,5000,0,5000,3680.82,1512.5
4310,226991,DINAMITZACIÓ MERCAL SETMANAL,1000,0,1000,218.7,0
4310,226992,DESPESES FIRA DE COMERÇ I ARTESANIA,6000,0,6000,5434.34,5434.34
4310,480000,DINAMITZACIÓ COMERCIAL,6000,0,6000,6000,3000
4320,226990,DESPESES DE FUNCIONAMENT SERVEI DE TURISME,3000,-3000,0,0,0
4320,462000,TRANSFERÈNCIES CORRENTS A DIPUTACIÓ DE BARCELONA,0,1000,1000,1000,1000
4320,467000,APORTACIÓ CONSORCI PROMOCIÓ DEL TURISME DEL VALLÈS ORIENTAL,750,10,760,757.39,0
4410,226990,DESPESES DE FUNCIONAMENT MOBILITAT SOSTENIBLE,1000,0,1000,485.03,485.03
4410,226991,CAMPANYES FOMENT A LA MOBILITAT SOSTENIBLE,1000,0,1000,511.55,511.55
4590,203000,LLOGUER MAQUINÀRIA OBRS I SERVEIS,9000,2200,11200,11899.24,11693.54
4590,212000,MANTENIMENT EDIFICIS AJUNTAMENT,12000,-3600,8400,7300.49,7300.49
4590,213000,ADQUISICIÓ I MANTENIMENT MAQUINÀRIA I EINES,8000,1250,9250,9597.47,9517.61
4590,214000,REPARACIONS I MANTENIMENT VEHICLES MUNICIPALS,8000,9500,17500,16881.46,16881.46
4590,221030,COMBUSTIBLES VEHICLES MUNICIPALS,15000,16400,31400,31357.12,31357.12
4590,221040,VESTUARI PERSONALS SERVEIS MUNICIPALS,9000,0,9000,8524.81,8298.5
4590,221100,MATERIAL DE NETEJA SERVEIS MUNICIPALS,9000,2200,11200,11780.07,11780.07
4590,226090,"DESPESES ACTIVITATS CIRCUIT DE CATALUNYA (G. PREMIS, ETC..)",75000,16500,91500,92963.96,91639.01
4590,227000,PAGAMENT CANON AIGUA,550000,5300,555300,555260.88,555260.88
4930,226000,DESPESES DE FUNCIONAMENT SERVEI CONSUM,1000,0,1000,0,0
4930,227000,DESPESES SERVEI OMIC,6000,0,6000,6000,6000
9120,100000,ASSIGNACIONS CARRECS POLITICS,89044,-3500,85544,81135.25,81135.25
9120,226010,DESPESES DE FUNCIONAMENT ALCALDIA,2500,2150,4650,6626.93,5649.43
9120,230000,DIETES ÒRGANS DE GOVERN,200,0,200,120,120
9120,231000,DESPESES LOCOMOCIÓ ÒRGANS DE GOVERN,600,0,600,729.51,729.51
9120,480000,GRUPS POLITICS MUNICIPALS,42000,0,42000,42000,31500
9200,120000,BASIQUES FUNCIONARIS SERVEIS GENERALS,215571,15500,231071,259025.65,259025.65
9200,121000,COMPLEMENT. FUNCIONARIS SERVEIS GENERALS,301278,-18700,282578,271132.04,271132.04
9200,130000,RETRIBUCIONS PERSONAL FIXE SERVEIS GENERALS,55657,1500,57157,57393.82,57393.82
9200,131000,RETRIBUCIONS PERSONAL TEMPORAL SERVEIS GENERALS,221569,14700,236269,236872.23,236872.23
9200,150000,PRODUCTIVITATSERVEIS GENERALS,10740,0,10740,2269.56,2269.56
9200,151000,GRATIFICACIONS HORES EXTRES,36000,21000,57000,57787.65,57787.65
9200,151100,ALTRES RETRIBUCIONS,109900,-105700,4200,4144.84,4144.84
9200,160000,QUOTES CORPORACIO SEGURETAT SOCIAL,1236520.61,32000,1268520.61,1270167.46,1270167.46
9200,162000,FORMACIO I PERFECCIONAMENT PERSONAL FUNC,2000,0,2000,63,63
9200,162001,FORMACIO I PERFECCIONAMENT PERSONAL LABORAL,1500,0,1500,1927.39,212.39
9200,162090,ALTRES DESPESES SOCIALS,19950,0,19950,16770.69,16770.69
9200,202000,LLOGUERS IMMOBLES,25850,1000,26850,24434.42,22609.42
9200,203000,REINTING DESFIBRILADORS,5950,0,5950,5940.86,5547.61
9200,204000,RÈNTING VEHICLES MUNICIPALS,50000,8800,58800,48796.29,46069.77
9200,204100,RÈNTING ENLLUMENAT PÚBLIC,78700,0,78700,78678.96,78678.96
9200,204200,RENTING ESCOMBRADORA,56500,0,56500,56337.6,51642.8
9200,206000,"RÈNTING INFORMÀTICA, EQUIPS OFICINA, ETC",26100,2700,28800,28797.12,28627.24
9200,207000,RÈNTING SERVEI POLICIA LOCAL,12000,3000,15000,14935.44,14935.44
9200,208000,RENTING VIDEOACTES PLE,11000,-11000,0,0,0
9200,209000,RENTING GESPA CAMP FUTBOL,30000,-30000,0,0,0
9200,210000,RÈNTING BICICLETA,2800,-2800,0,0,0
9200,216000,MANTENIMENT DEL SISTEMA INFORMÀTIC,1500,0,1500,608.3,608.3
9200,219000,ESTRIS I CONSERVACIÓ MATERIAL SERVEIS GENERALS,1000,0,1000,659.93,659.93
9200,220000,MATERIAL D'OFICINA SERVEIS GENERALS,6500,1550,8050,7911.8,7911.8
9200,220010,"LLIBRES, REVISTES I ALTRES PUBLICACIONS",850,850,1700,1682.72,1682.72
9200,220020,MATERIAL INFORMÀTIC NO INVENTARIABLE,3000,0,3000,1762.61,1762.61
9200,221000,SUBMINISTRAMENT ELÈCTRIC DEPENDÈNCIES S. GENERALS,28000,-2000,26000,24133.9,22588.51
9200,221001,SUBMINISTRAMENT ELÈCTRIC ALTRES DEPENDÈNCIES,19000,-2000,17000,13466.53,12092.47
9200,221020,SUBM.COMBUSTIBLE DEPENDÈNCIES SERVEIS GENERALS,8000,2160,10160,11614.18,11614.18
9200,221040,VESTUARI SERVEIS GENERALS,1000,0,1000,1031.02,1031.02
9200,222000,DESPESES DE TELECOMUNICACIÓ (VEU I DADES),25000,1850,26850,29553.84,27736.34
9200,222990,SERVEIS DE MISSATGERS I CORREUS,18000,1600,19600,21263.52,21253.08
9200,222991,CONTRACTES SERVEIS TRANSPARÈNCIA,20000,0,20000,14164.26,14164.26
9200,224000,ASSEGURANCES PARC MÒBIL,2800,0,2800,2467.54,2467.54
9200,224001,ASSEGURANCES EDIFICIS,9972,700,10672,10596.45,10596.45
9200,224002,ASSEGURANCES RESPONSABILITAT CIVIL,7500,300,7800,7768.52,7768.52
9200,224003,ASSEGURANCES PERSONAL,4000,0,4000,3990,3990
9200,224004,ALTRES ASSEGURANCES,6000,-100,5900,5889.17,5889.17
9200,226030,ANUNCIS EN BUTLLETINS OFICIALS  I MITJANS COMUNICACIÓ,6000,2700,8700,9087.24,8650.44
9200,226040,"HONORARIS SERVEIS JURÍDICS, NOTARIALS I REGISTRALS",25000,2700,27700,13621.65,8781.65
9200,226990,DESPESES FUNCIONAMENT SERVEIS GENERALS,25000,-15800,9200,7023.85,7023.85
9200,226991,DESPESES COMUNITATS DE PROPIETARIS,9500,-5000,4500,4246.87,4246.87
9200,226992,"DESPESES SINISTRES VIA PÚBLICA, VEHICLES, ETC.",6000,-4000,2000,1402.88,1402.88
9200,226993,DESPESES FUNCIONAMENT SERVEIS TÈCNICS,1000,0,1000,425.15,425.15
9200,226994,DESPESES PER EXECUCIO SUBSIDIÀRIA D'OBRES,3000,-3000,0,0,0
9200,227000,DESPESES DE PARTICIPACIÓ CIUTADANA,3000,-1500,1500,1862.54,827.35
9200,227080,SERVEIS DE RECAPTACIÓ ORGANISME AUTÒNOM,165000,38300,203300,245230,245230
9200,227990,CONTRACTES DE MANTENIMENT DIVERSOS SERVEIS,252000,0,252000,250977.66,231003
9200,227991,SERVEIS D'ADMINISTRACIÓ GENERAL,44308,-32000,12308,11954.8,11664.4
9200,227992,SERVEIS MANTENIMENT SISTEMA INFORMÀTIC,40000,-9700,30300,29968.89,28864.66
9200,227993,SERVEI MANTENIMENT EQUIPS MULTIFUNCIÓ,17500,1250,18750,20020.18,18396.88
9200,227994,ALTRES SERVEIS INFORMÀTICS,45000,-13450,31550,31528.09,31494.73
9200,227995,PREVENCIÓ DE SALUT I RISCOS LABORALS,19000,-8000,11000,10689.36,10689.36
9200,227996,REALITZACIÓ ESTUDIS TÈCNICS,22800,0,22800,9506.97,9506.97
9200,227997,PLANS AUTOPROTECCIÓ,3000,0,3000,0,0
9200,230200,DIETES PERSONAL ADMINISTRACIÓ GENERAL,500,350,850,823,823
9200,231200,DESPESES LOCOMOCIÓ ADMINISTRACIÓ GENERAL,1500,1250,2750,3073.49,3073.49
9200,462000,ALTRES SUBVENCIONS ADMINISTRACIONS LOCALS,2000,25500,27500,27469.17,0
9200,466000,FEDERACIÓ DE MUNICIPIS DE CATALUNYA,1800,0,1800,1451.28,1451.28
9200,466001,ASSOCIACIÓ CATALANA DE MUNICIPIS I COMARQUES,1500,0,1500,1494,1494
9200,480005,SUBVENCIO BANC DEL TEMPS,500,0,500,0,0
9200,480006,ALTRES SUBVENCIONS ENTITATS,1000,1750,2750,2962.28,2449.25
9200,480007,ASSOCIACIÓ DE VEiNS SANT CRIST DE LA RUA,1000,0,1000,1000,0
9200,480008,TRANSFERÈNCIA OFICINAL LOCAL HABITATGE CCVO,10500,0,10500,10000,0
