#Título,Descripción
Impuesto sobre el incremento del valor de los terrenos de naturaleza urbana,"El IIVTNU es un tributo directo que grava el incremento de valor que ha experimentado un terreno mientras una persona ha sido propietaria de un piso, aparcamiento, trastero, local, terreno, etc… Tiene que pagar este impuesto la persona que vende un piso, una plaza de garaje, un trastero, una tienda, una casa, etc.., por el incremento del valor que ha experimentado el terreno mientras ha sido propietario. En caso de herencia o donación, es el nuevo propietario quien tiene que pagar el impuesto. La gestión de este impuesto es íntegramente municipal."
Tasas y precios públicos,"Cuando el Ayuntamiento realiza actividades que benefician o interesan particularmente a la ciudadanía, puede exigir tasas o precios públicos. También, se exigirá una tasa cuando tenga lugar el aprovechamiento especial de la vía pública a favor de un particular. Ejemplos típicos de actividades por las cuales se exige una tasa son la recogida de basuras, la concesión de una licencia urbanística o un vado. Tiene que pagar la tasa la persona que se beneficia del dominio público o de un servicio o actividad que realiza el Ayuntamiento. Es el Ayuntamiento quien determina mediante las ordenanzas fiscales el importe de la tasa. La diferencia entre una tasa y un precio público es que la tasa se establece por la utilización del dominio público en todos los casos y para los servicios que están sometidos a licencia municipal o tienen un carácter esencial. El precio público se refiere al resto de servicios, que no son esenciales para la comunidad."
Contribuciones especiales,"Cuando el Ayuntamiento realiza obras públicas o establece servicios de los cuales el ciudadano obtiene un beneficio o incrementa el valor de sus bienes, se pueden exigir contribuciones especiales."
Resultado presupuestario ajustado,"El resultado presupuestario ajustado forma parte del estado de liquidación del presupuesto y es la diferencia entre los derechos de cobro que se han liquidado en el ejercicio y las obligaciones de pago reconocidas en el mismo periodo. Por tanto, es una magnitud que refleja el superávit o déficit del ejercicio del Ayuntamiento. El resultado presupuestario se tiene que ajustar con las obligaciones que se financian con remanente de tesorería para gastos generales y las desviaciones de financiación del ejercicio derivadas de los gastos con financiación afectada, ya que estas circunstancias distorsionan el resultado presupuestario. Cuando el resultado presupuestario ajustado del ejercicio es negativo, nos encontramos delante de una situación financiera que tiene que ser analizada y si es el caso corregida, ya que este saldo manifiesta la incapacidad de los derechos reconocidos en el ejercicio para atender las obligaciones generadas en el mismo, y por tanto un incumplimiento del principio de estabilidad presupuestaria."
Remanente de tesorería para gastos generales,"El remanente de tesorería para gastos generales forma parte del estado de liquidación del presupuesto y es la suma de los derechos pendientes de cobro (del mismo ejercicio y del anterior) más los fondos líquidos de tesorería y menos los créditos pendientes de pago (del mismo ejercicio y del anterior). Esta magnitud no significa un sobrante de tesorería, es sencillamente el resultado líquido que se obtendría en el hipotético caso que se cobrasen todos los derechos reconocidos y se pagaran todas las obligaciones reconocidas, tanto presupuestarias como no presupuestarias, teniendo en cuenta las desviaciones de financiación afectadas positivas acumuladas."
Ahorro neto,"La magnitud del ahorro neto es un indicador de la situación financiera de la entidad local, de la capacidad de poder atender a su vencimiento la carga financiera del endeudamiento. Se calcula de la siguiente manera: suma de los ingresos liquidados correspondiente a impuestos, tasas y precios públicos, transferencias corrientes y ingresos patrimoniales, menos los gastos relativos a personal, bienes corrientes y servicios y transferencias corrientes (no se contemplan los gastos financiados con remanente de tesorería para gastos generales). A este resultado se le tiene que restar la anualidad teórica de amortización correspondiente a los préstamos concertados a largo plazo y a los avales a terceros pendientes de reembolsar. "
Capacidad de financiación,"La capacidad o necesidad de financiación de un Ayuntamiento se mide como la diferencia entre los ingresos no financieros y los gastos no financieros. Cuando el resultado es positivo (capacidad de financiación), indica que la entidad tiene capacidad de financiación o superávit de presupuesto no financiero. En cambio, si el resultado es negativo, indica que la entidad necesita financiación, es decir, que tiene que recurrir al endeudamiento."
Deuda viva,"La deuda viva es la totalidad de la deuda pendiente de pagar que tiene el Ayuntamiento procedente de préstamos a largo plazo con entidades financieras y avales, es decir, es el capital pendiente de amortizar más los intereses generados."
Área de Servicios públicos básicos,"Incluye el gasto en Seguridad y movilidad ciudadana; Vivienda y urbanismo; Bienestar comunitario; y Medio ambiente."
Área de Producción de bienes públicos de carácter preferente,"Incluye el gasto en Sanidad; Educación; Cultura; y Deporte."
Área de Actuaciones de carácter general,"Incluye el gasto en Órganos de gobierno; Servicios de carácter general; Administración financiera y tributaria; y Transferencias a otras administraciones públicas."
Área de Actuaciones de protección y promoción social,"Incluye el gasto en Pensiones; Otras prestaciones económicas a favor de empleados; Servicios sociales y promoción social; y Fomento del empleo."
Área de Actuaciones de carácter económico,"Incluye el gasto en Agricultura, ganadería y pesca; Industria y energía; Comercio, turismo y pequeñas y medianas empresas; Transporte público; Infraestructuras; Investigación, desarrollo e innovación; y Otras actuaciones de carácter económico."
Ajuste de la inflación,"Usamos el Índice de Precios de Consumo (base 2016) del Instituto Nacional de Estadística como fuente de los datos de inflación. En concreto, usamos la variación interanual en el mes de diciembre del Índice General para Cataluña. Así obtenemos las tasas 3.6% (para el año 2012), 0.2% (2013), -0.7% (2014), 0.3% (2015), 1.9% (2016) y 1.2% (2017)."
Clasificación económica del presupuesto de ingresos,"La clasificación económica del presupuesto de ingresos informa de cómo se ingresa. Consta de los siguientes capítulos: <br/><ul><li>Capítulo 1: Impuestos directos</li><li>Capítulo 2: Impuestos indirectos</li><li>Capítulo 3: Tasas, precios públicos y otros ingresos</li><li>Capítulo 4: Transferencias corrientes</li><li>Capítulo 5: Ingresos patrimoniales</li><li>Capítulo 6: Enajenación de inversiones reales</li><li>Capítulo 7: Transferencias de capital</li><li>Capítulo 8: Activos financieros</li><li>Capítulo 9: Pasivos financieros</li></ul>"
