#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
1300,221030,COMBUSTIBLE VEHICLES POLICIAL LOCAL-PROTEC. CIVIL,6000,0,6000,6343.76
1300,221040,VESTUARI POLICIA LOCAL I PROTECCIÓ CIVIL,15000,6100,21100,19950.68
1300,221120,MATERIAL TÈCNIC POLICIA LOCAL I PROTECCIÓ CIVIL,6000,-1000,5000,4966.96
1300,226990,DESPESES DE FUNCIONAMENT POLICIA LOCAL,5000,-1000,4000,3415.97
1300,227990,DESPESES SERVEI RETIRADA DE VEHICLES,9000,0,9000,7627.84
1300,480000,ASSOCIACIÓ PROTECCIÓ CIVIL,15000,0,15000,15000
1510,120000,BASIQUES FUNCIONARS  URBANISME I ARQUITECTURA,50000,-600,49400,55457.24
1510,121000,COMPLEMENTARIES  FUNCIONARIS URBANISME I ARQUITECTURA,92000,2200,94200,89792.64
1510,131000,RETRIBUCIONS LABORAL EVENTUAL URBANISME,80000,51000,131000,109799.92
1510,761000,TRANSFERÈNCIES CAPITAL,1000,0,1000,0
1610,221010,SUBMINISTRAMENT AIGÜES TER-LLOBREGAT,300000,10600,310600,310587.1
1610,227990,SERVEI ANÀLISI DE CONTROL I LECTURES DE L'AIGUA,9000,-3500,5500,5223.43
1610,227991,MANTENIMENT SERVEI DE CLAVEGUERAM,42000,0,42000,41855.2
1610,467000,APORTACIO CONSORCIS,0,0,0,0
1620,467000,SERVEI DEIXALLERIA,41000,0,41000,38046.77
1620,467001,SERVEI RECOLLIDA SELECTIVA,39000,0,39000,22433.6
1620,467002,SERVEI DE RECOLLIDA I TRACTAMENT MATÈRIA ORGÀNICA,28000,0,28000,26080.67
1620,467003,TRANSFERÈNCIA I ELIMINACIÓ RESIDUS MPALS. ORDINARIS,154000,0,154000,134191.49
1620,467004,SERVEI RECOLLIDA RESTA I FRACCIÓ ORGÀNICA MERCAT,5000,0,5000,5533.11
1620,467005,SERVEI DE RECOLLIDA DE PAPER I CARTRÓ COMERCIAL,21000,0,21000,22338.31
1620,467006,SERVEI DE RECOLLIDA FRACCIÓ RESTA,186000,0,186000,166970.01
1620,467007,SERVEI DE VOLUMINOSOS I ELIMINACIÓ RESIDUS BANALS,19000,-15000,4000,4930.65
1620,467008,QUOTA MUNICIPIS ADHERITS,26000,0,26000,24516.72
1620,467009,DESPESES CONTENIDORS CÀRREGA LATERAL,41000,-9000,32000,31211.63
1650,221000,SUBMINISTRAMENT ELÈCTRIC ENLLUMENAT PÚBLIC,139300,0,139300,141907.52
1720,226990,DESPESES FUNCIONAMENT MEDI AMBIENT,5000,1100,6100,6522.54
1720,226991,CAMPANYES I ALTRES ACTUACIONS SERVEI MEDI AMBIENT,3000,-2900,100,87.12
1720,467000,APORTACIÓ CONCORCI CONCA RIU BESOS,150,0,150,106.36
2310,120000,BÀSIQUES FUNCIONARIS ACCIÓ SOCIAL,0,19020,19020,20670.36
2310,121000,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS ACCIÓ SOCIAL,0,27980,27980,23167.41
2310,130000,RETRIBUCIONS PERSONAL FIXE ACCIO SOCIAL,55000,-48950,6050,6027.12
2310,131000,RETRIBUCIONS PERSONAL EVENTUAL ACCIO SOCIAL,257000,28000,285000,282599.23
2310,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS SERVEIS SOCIALS,6000,-2000,4000,1673.05
2310,221020,SUBM.COMBUSTIBLE EDIFICIS DESTINATS S. SOCIALS,4000,-900,3100,2092.15
2310,226990,DESPESES SERVEI TELEASSISTÈNCIA,16000,200,16200,18643.92
2310,226991,DESPESES FUNCIONAMENT ACCIÓ SOCIAL,12000,-7800,4200,3689.03
2310,226992,DESPESES HOMENATGE GENT GRAN,9000,0,9000,10049.92
2310,226993,DESPESES FUNCIONAMENT SOLIDARITAT I COOPERAC.,1500,0,1500,1266.9
2310,226994,DESPESES FUNCIONAMENT POLÍTIQUES D'IGUALTAT,1000,0,1000,508.2
2310,226995,DESPESES DE FUNCIONAMENT CASAL GENT GRAN,15000,-3000,12000,9935.28
2310,226996,DESPESES SERVEI DINAR EN COMPANYIA,26000,13500,39500,38382.58
2310,227990,SERVEI PUNT DONA,12000,450,12450,12415.8
2310,227991,PRESTACIÓ DE SERVEIS CENTRE DE DISCAPACITATS,250000,0,250000,250000
2310,227992,SERVEI DE MENJADOR A LES ESCOLES,40000,0,40000,39293.12
2310,227993,AJUTS MENJADOR ESCOLA BRESSOL,7000,6000,13000,12866.6
2310,227995,AJUTS D'ESTADA ESCOLA BRESSOL,18000,0,18000,16837.91
2310,227996,PRESTACIÓ DE SERVEIS PROJECTE SOCIOEDUCATIU EL GALLINER,10000,0,10000,9795.08
2310,410000,APORTACIÓ RESIDÈNCIA CAN DOTRAS,0,0,0,0
2310,449000,APORTACIÓ RESIDÈNCIA CAN DOTRAS,129300,0,129300,129300
2310,480000,ASSISTÈNCIA SOCIAL,60000,-6200,53800,53732.55
2310,480001,APORTACIÓ FONS DE SOLIDARITAT I COOPERACIÓ,20000,0,20000,1750
2310,480002,BEQUES LLIBRES ESCOLARS,15000,-10300,4700,4550.26
2310,480003,CONVENI INTERADMINISTRATIU SERVEIS SOCIALS,4000,0,4000,2039.08
2310,480004,ASSOCIACIÓ DE PARES FILLS DISCAPACITATS,2200,0,2200,2200
2310,480005,APORTACIÓ CARITAS,6500,0,6500,6500
2310,480006,ALTRES SUBVENCIONS ACCIÓ SOCIAL,1000,0,1000,0
2310,480008,PROJECTE SUPORT A LA INFÀNCIA,1000,0,1000,0
2310,480009,"ALTRES SUBVENCIONS (Gent Gran, etc)",1000,0,1000,1000
2310,480010,PROJECTES REHABILITACIÓ HABITATGES GENT GRAN,5000,-3000,2000,1462.81
2310,480011,SUBVENCIÓ IMPOST BÉNS IMMOLBES,15000,-10000,5000,3223.2
2310,480012,AJUTS AL LLOGUER,50000,0,50000,45900
2310,480013,APORTACIÓ ONCOVALLÈS,1000,0,1000,1000
2310,480014,AJUTS A ESTUDIS UNIVERSITARIS,10000,-8000,2000,547.2
2410,143000,RETRIBUCIONS PERSONAL PLA OCUPACIONAL I,100,0,100,0
2410,143100,PLA D'EMERGENCIA D'OCUPACIÓ,90000,122700,212700,217290.02
2410,226990,DESPESES FUNCIONAMENT PROMOCIÓ ECONÒMICA,2000,-1700,300,643
2410,226991,DESPESES DE FOMENT DE L'OCUPACIÓ,12000,-6000,6000,6034.97
2410,226992,DESPESES DE FORMACIÓ OCUPACIONAL,45000,-11000,34000,27631.5
2410,227990,PROJECTES DE FORMACIÓ OCUPACIONAL SOC,100,0,100,0
2410,227991,PLA ESTRATEGIC,6000,-450,5550,5505.5
2410,470000,MESURES ESPECIALS PROMOCIÓ OCUPACIÓ (EMPRESES),17000,-7000,10000,9943.3
3110,226990,DESPESES FUNCIONAMENT SERVEI SALUT PUBL. COMUNITÀRIA,1000,2800,3800,3714.83
3110,226991,DESPESES DE FUNCIONAMENT SERVEI DE CONSUM,1000,-500,500,0
3110,227990,SERVEIS DE RECOLLIDA D'ANIMALS DOMÈSTICS,4000,0,4000,3396.17
3110,227991,SERVEI DE CONTROL DE COLÒNIES DE GATS,2500,100,2600,4646.59
3110,227992,"SERVEIS DE DESRATITZACIÓ, DESINFECCIÓ, ETC",15000,400,15400,16177.07
3110,227993,PRESTACIÓ SERVEIS INSPECCIÓ LEGIONEL·LOSI,8000,0,8000,7273.31
3200,120000,BÀSIQUES FUNCIONARIS EDUCACIÓ,0,5410,5410,5993.98
3200,121000,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS EDUCACIÓ,0,6095,6095,5538.6
3200,130000,RETRIBUCIONS PERSONAL FIX ESCOLA D'ADULTS,154000,33495,187495,181492.69
3200,130001,RETRIBUCIIONS PERSONAL FIX ESCOLA DE MÚSICA,61000,-11200,49800,50161.38
3200,131000,RETRIBUCIONS PERSONAL EVENTUAL ESCOLA DE MÚSICA,80000,5600,85600,91717.88
3200,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS ESCOLARS,45000,-16000,29000,20934.93
3200,221020,SUBM.COMBUSTIBLE EDIFICIS ESCOLARS,65000,-19000,46000,38919.74
3200,226990,DESPESES DE FUNCIONAMENT EDUCACIÓ,15000,-4900,10100,10399.17
3200,226991,DESPESES DE FUNCIONAMENT ESCOLA DE MUSICA,8000,-1300,6700,7030.34
3200,227990,PRESTACIÓ SERVEIS EDUCATIUS ESCOLA BRESSOL,214000,2700,216700,200000
3200,227991,PRESTACIÓ SERVEI TIS,21000,-3200,17800,17798.87
3200,467000,APORTACIÓ CONSORCI ASSOCIAT DE LA UNED,18000,0,18000,18000
3200,468000,SUBVENCIÓ ESCOLA PAU CASALS,8000,0,8000,8000
3200,468001,SUBVENCIÓ ESCOLA SANT JORDI,8000,0,8000,8000
3200,468002,SUBVENCIÓ INSTITUT MONTMELÓ,10500,0,10500,10500
3200,468003,SUBVENCIONS AMPA COL.LEGIS PUBLICS,14500,0,14500,14500
3200,468004,AMPA INSTITUT MONTMELÓ (beca d'estudis),4500,0,4500,4613.52
3200,468005,"FUNDACIÓ PRIVADA CULTURAL DE GRANOLLERS, AC",4200,0,4200,2505.52
3300,120000,BÀSIQUES FUNCIONARIS CULTURA I JOVENTUT,0,32360,32360,35103.02
3300,121000,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS CULTURA I JOVENTUT,0,39110,39110,32304.94
3300,130000,RETRIBUCIONS PERSONAL FIXE CULTURA I JOVENTUT,80000,-63400,16600,12740.67
3300,131000,RETRIBUCIONS PERSONAL EVENTUAL CULTURA I JOVENTUT,180000,25000,205000,212463.12
3300,221000,SUBMINISTRAMENT ELÈCTRIC DESTINATS S. CULTURALS,37000,0,37000,46650.75
3300,221020,SUBMINISTRAMENT GAS NATURAL EDIFICIS CULTURA,13000,0,13000,10657.11
3300,226990,DESPESES FUNCIONAMENT CULTURA,15000,-3500,11500,11417.26
3300,226991,DESPESES FUNCIONAMENT PATRIMONI CULTURAL,15000,1300,16300,17122.84
3300,226992,DESPESES DE MONITORS TALLERS,38000,0,38000,37078.33
3300,226993,FESTA MAJOR,75000,10000,85000,84746.3
3300,226994,CARNESTOLTES,16000,2050,18050,18034.3
3300,226995,ALTRES FESTES TRADICIONALS,30000,13900,43900,47557.96
3300,226996,CONSUM CULTURAL,35000,16600,51600,60293.01
3300,226997,DESPESES DE FUNCIONAMENT MONS OBSERVANS CAN TACO,4000,950,4950,5008.69
3300,227000,PRESTACIÓ DE SERVEIS MONS OBSERVANS CAN TACÓ,25000,6950,31950,36680.14
3300,467000,APORTACIÓ CONSORCI NORMALITZACIÓ LINGÜÍSTICA,8000,0,8000,8717.15
3300,468000,"L'AGRUPA, ASSOCIACIÓ CULTURAL",1950,0,1950,1950
3300,468001,LUDUS HISTORIAE,1200,0,1200,1200
3300,468002,XARXA,3450,0,3450,3450
3300,468003,PENYA BLAUGRANA DE MONTMELÓ,1950,0,1950,1950
3300,468004,COLLA DE GEGANTERS DE MONTMELÓ,2350,0,2350,2350
3300,468005,ESBART DANSAIRE DE MONTMELÓ,1375,0,1375,1375
3300,468006,COLLA DE DIABLES DE MONTMELÓ,2650,0,2650,2650
3300,468007,ENTITATS ACTIVITATS DE NADAL,1000,0,1000,1000
3300,468008,SUBVENCIÓ ASSOCIACIÓ COMPANYIA DE TEATRE NYAP,500,0,500,0
3300,468009,CENTRE D'ESTUDIS MONTMELÓ,100,1900,2000,2000
3370,226990,DESPESES DE FUNCIONAMENT SERVEI JOVENTUT,12000,-2800,9200,5368.44
3370,226991,INICIATIVES ACTIVITATS JOVENILS,8000,-800,7200,7124.49
3370,226992,CASAL D'ESTIU I JOVE,12000,0,12000,9695.95
3370,226993,PARC DE NADAL,6000,-1000,5000,5820.29
3370,468000,CIJ ESPLAIA'T,8000,0,8000,8000
3370,468002,ALTRES SUBVENCIONS DE JOVENTUT,1500,-1500,0,1500
3410,120000,BÀSIQUES FUNCIONARIS ESPORTS,0,6775,6775,7293.46
3410,121000,RETRIBUCIONS COMPLEMENTARIES FUNCIONARIS ESPORTS,0,9905,9905,8739.82
3410,130000,RETRIBUCIONS PERSONAL FIXE SERVEI D'ESPORTS,21500,1315,22815,21806.21
3410,131000,RETRIBUCIONS PERSONAL EVENTUAL SERVEI D'ESPORTS,140000,-28800,111200,112540.98
3410,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS DESTINATS ESPORTS,40000,0,40000,44925.92
3410,221020,SUBM.COMBUSTIBLE EDIFICIS DESTINATS A ESPORTS,25000,0,25000,22409.02
3410,226990,DESPESES DE FUNCIONAMENT ESPORTS,20000,0,20000,19522.79
3410,227990,SERVEI PISCINES MUNICIPALS,100,0,100,0
3410,468000,CF MONTMELÓ UE,16000,0,16000,16000
3410,468001,MONTMELÓ CLUB BÀSQUET,5200,0,5200,5200
3410,468002,ASSOCIACIÓ ESPORTIVA MONTMELÓ,4800,0,4800,4800
3410,468003,CLUB ESCACS MONTMELÓ,1200,0,1200,1200
3410,468004,CLUB PETANCA MONTMELÓ,1450,0,1450,1450
3410,468006,PENYA BLAUGRANA MONTMELÓ,3375,0,3375,3375
3410,468008,PENYA PERICOS,400,0,400,400
3410,468009,CLUB BILLAR MONTMELÓ,800,0,800,800
3410,468010,MONTMELÓ ASSOCIACIÓ RÍTMICA,800,0,800,800
3410,468011,CLUB DE BOXA,500,0,500,0
3410,468012,CLUB KARATE,800,0,800,0
3410,468013,CLÀSSICS MONTMELÓ,1000,0,1000,1000
4320,226990,DESPESES DE FUNCIONAMENT SERVEI DE TURISME,1000,0,1000,732.16
4320,467000,APORTACIÓ CONSORCI PROMOCIÓ DEL TURISME DEL VALLÈS ORIENTAL,300,0,300,0
4390,226990,DESPESES DE FUNCIONAMENT COMERÇ,1000,-700,300,2584.98
4390,226991,DINAMITZACIÓ MERCAT SETMANAL,1000,-1000,0,515.38
4390,226992,DESPESES DE FIRES DE COMERÇ I ARTESANIA,6000,-1400,4600,3135.82
4390,480000,DINAMITZACIÓ COMERCIAL,3000,3000,6000,6000
4410,226990,DESPESES DE FUNCIONAMENT MOBILITAT SOSTENIBLE,1000,-1000,0,0
4410,226991,CAMPANYES FOMENT A LA MOBILITAT SOSTENIBLE,5000,-4000,1000,0
4590,226090,"DESPESES ACTIVITATS CIRCUIT DE CATALUNYA (G. PREMIS, ETC..)",50000,13550,63550,60197.47
4590,227000,PAGAMENT CANON AIGUA,300000,-30400,269600,269388.21
4590,410000,APORTACIÓ EMPRESA MUNICIPAL SERVEIS I OBRES,0,0,0,0
4590,449000,APORTACIÓ EMPRESA MUNICIPAL DE SERVEIS I OBRES,1676800,197500,1874300,1873089.84
4590,610200,PROJECTE MILLORA XARXA AIGUA POL. EL PEDREGAR,0,1000847.17,1000847.17,729514.52
9120,100000,ASSIGNACIONS CARRECS POLITICS,110000,-22750,87250,95801.46
9120,226010,PROTOCOL ALCALDIA,5000,0,5000,5619.63
9120,230000,DIETES ÒRGANS DE GOVERN,500,-500,0,0
9120,231000,DESPESES LOCOMOCIÓ ÒRGANS DE GOVERN,500,180,680,577.8
9200,120000,BASIQUES FUNCIONARIS SERVEIS GENERALS,72000,97704,169704,190556.89
9200,121000,COMPLEMENT. FUNCIONARIS SERVEIS GENERALS,160000,120584,280584,250244.48
9200,130000,RETRIBUCIONS PERSONAL FIXE SERVEIS GENERALS,335000,-237803,97197,103165.02
9200,131000,RETRIBUCIONS PERSONAL EVENTUAL SERVEIS GENERALS,190000,31400,221400,197798.31
9200,151000,GRATIFICACIONS HORES EXTRES,20000,58500,78500,102884.65
9200,151100,PAGA EXTRA MERITADA 2012,24000,-24000,0,16043.23
9200,160000,QUOTES CORPORACIO SEGURETAT SOCIAL,850000,55000,905000,892670.48
9200,162000,FORMACIO I PERFECCIONAMENT PERSONAL FUNC,1500,0,1500,2068.6
9200,162001,FORMACIO I PERFECCIONAMENT PERSONAL LABORAL,1000,0,1000,160
9200,162090,ALTRES DESPESES SOCIALS,25000,0,25000,15302.4
9200,202000,LLOGUERS IMMOBLES,18000,700,18700,18600.72
9200,203000,REINTING DESFIBRILADORS,7000,0,7000,3932.5
9200,204000,RÈNTING VEHICLES MUNICIPALS,43000,0,43000,42731.23
9200,204100,RÈNTING ENLLUMENAT PÚBLIC,45000,4300,49300,71886.18
9200,204200,RENTING ESCOMBRADORA,30000,-4500,25500,20024.4
9200,206000,"RÈNTING INFORMÀTICA, EQUIPS OFICINA, ETC",30000,-8000,22000,20015.88
9200,216000,MANTENIMENT DEL SISTEMA INFORMÀTIC,2000,0,2000,1599.78
9200,219000,ESTRIS I CONSERVACIÓ MATERIAL SERVEIS GENERALS,1000,0,1000,598.85
9200,220000,MATERIAL D'OFICINA SERVEIS GENERALS,9000,1900,10900,11231.51
9200,220010,"LLIBRES, REVISTES I ALTRES PUBLICACIONS",1000,0,1000,700.72
9200,220020,MATERIAL INFORMÀTIC NO INVENTARIABLE,3000,-2000,1000,756.77
9200,221000,SUBMINISTRAMENT ELÈCTRIC DEPENDÈNCIES S. GENERALS,40000,-9000,31000,19764.88
9200,221001,SUBMINISTRAMENT ELÈCTRIC ALTRES DEPENDÈNCIES,22000,-6000,16000,7933.68
9200,221020,SUBM.COMBUSTIBLE DEPENDÈNCIES SERVEIS GENERALS,12000,4250,16250,10723.87
9200,221040,VESTUARI,1000,1550,2550,2258.58
9200,222000,"TELÈFONS, FAX I CORREU",25000,-7000,18000,20568.74
9200,222990,SERVEIS DE MISSATGERS,15000,3950,18950,23803.42
9200,224000,ASSEGURANCES PARC MÒBIL,2000,900,2900,2890.78
9200,224001,ASSEGURANCES EDIFICIS,7000,220,7220,7217.95
9200,224002,ASSEGURANCES RESPONSABILITAT CIVIL,7000,0,7000,6954.95
9200,224003,ASSEGURANCES PERSONAL,4000,0,4000,4000
9200,224004,ALTRES ASSEGURANCES,7500,0,7500,7219
9200,226030,ANUNCIS EN BUTLLETINS OFICIALS  I MITJANS COMUNICACIÓ,3000,17350,20350,18720.75
9200,226040,"HONORARIS SERVEIS JURÍDICS, NOTARIALS I REGISTRALS",25000,46350,71350,71821.74
9200,226990,DESPESES FUNCIONAMENT SERVEIS GENERALS,10000,3000,13000,15030.1
9200,226991,DESPESES COMUNITATS DE PROPIETARIS,3000,0,3000,168
9200,226992,"DESPESES SINISTRES VIA PÚBLICA, VEHICLES, ETC.",4000,-1000,3000,3684.05
9200,226993,DESPESES FUNCIONAMENT URBANISME,1000,1750,2750,2435.54
9200,226994,DESPESES PER EXECUCIO SUBSIDIÀRIA D'OBRES,3000,2350,5350,6221.91
9200,227000,DESPESES DE PARTICIPACIÓ CIUTADANA,15000,2000,17000,17974.37
9200,227080,SERVEIS DE RECAPTACIÓ ORGANISME AUTÒNOM,145000,-104000,41000,39028.72
9200,227990,CONTRACTES DE MANTENIMENT DIVERSOS SERVEIS,135000,56000,191000,193744.34
9200,227991,SERVEIS D'ADMINISTRACIÓ GENERAL,15000,4350,19350,16441.5
9200,227992,SERVEIS MANTENIMENT SISTEMA INFORMÀTIC,48000,-8400,39600,39597.08
9200,227993,SERVEI MANTENIMENT EQUIPS MULTIFUNCIÓ,20000,0,20000,18447.64
9200,227994,ALTRES SERVEIS INFORMÀTICS,44500,-24600,19900,19841.33
9200,227995,PREVENCIÓ DE SALUT I RISCOS LABORALS,10000,-3000,7000,6754.77
9200,227996,DESPESES SERVEIS CREU ROJA,100,0,100,0
9200,227997,PLANS AUTOPROTECCIÓ,5000,0,5000,0
9200,230200,DIETES PERSONAL ADMINISTRACIÓ GENERAL,500,-400,100,0
9200,231200,DESPESES LOCOMOCIÓ ADMINISTRACIÓ GENERAL,1500,0,1500,2612.36
9200,462000,ALTRES SUBVENCIONS ADMINISTRACIONS LOCALS,100,0,100,0
9200,466000,FEDERACIÓ DE MUNICIPIS DE CATALUNYA,1800,0,1800,1761.89
9200,466001,ASSOCIACIÓ CATALANA DE MUNICIPIS I COMARQUES,1500,0,1500,1494
9200,480000,SUBVENCIÓ GRUPS POLÍTICS MUNICIPALS,45600,0,45600,43620
9200,480003,TRANSFERÈNCIA HABITAPARETS,7600,0,7600,6252.28
9200,480004,SUBVENCIÓ ASSOCIACIÓ DESOCUPATS DE MONTMELO,100,0,100,0
9200,480005,SUBVENCIO BANC DEL TEMPS,500,0,500,500
9200,480006,ALTRES SUBVENCIONS ENTITATS,2400,1000,3400,3485.04
9200,480007,ASSOCIACIÓ DE VEiNS SANT CRIST DE LA RUA,1000,0,1000,1000
9200,609000,INVERSIONS EN TERRENYES PER EXPROPIACIÓ,0,100000,100000,100000
9200,610000,INVERSIONS 2015,400000,40144.07,440144.07,444135.74
9200,610100,REURBANITZACIÓ TRAVESSERA URBANA BV 5156,0,1200620.71,1200620.71,861997.21
9200,610200,REFORMA PLAÇA JOAN MIRÓ,0,200000,200000,31464.53
9200,610500,ANELLA VERDA,0,23875,23875,0
9200,632000,TANCAMENT PISTA ESPORTIVA,0,269505,269505,269490.96
9200,632100,CENTRE JUVENIL,0,135246.45,135246.45,135186.94
9240,226020,"PUBLICITAT, PROPAGANDA, BUTLLETINS, CALENDARIS I ALTRES",15000,3450,18450,16850.97
9240,226990,DESPESES DE FUNCIONAMENT SERVEI DE COMUNICACIÓ,1000,-1000,0,0
9240,226991,PRESTACIÓ SERVEIS DISSENY I  COMUNICACIÓ,21000,-1000,20000,19992
9240,467000,APORTACIÓ CONSORCI LOCALRET,1200,0,1200,1047.74
9240,467001,APORTACIÓ CONSORCI TELEDIGITAL MOLLET,35000,0,35000,35000
9290,270000,FONS DE CONTINGENCIA,150000,-150000,0,0
9290,555000,FONS DE CONTINGÈNCIA,0,0,0,0
#,,,11690700,3167888.4,14858588.4,13912952.51
