#Pro.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
1620,467003,TRANSFERÈNCIA I ELIMINACIÓ RESIDUS MPALS. ORDINARIS,171000,0,171000,169957.29
1620,467005,SERVEI DE RECOLLIDA DE PAPER I CARTRÓ COMERCIAL,24000,0,24000,23627.86
1620,467006,SERVEI DE RECOLLIDA FRACCIÓ RESTA,207000,0,207000,203161.68
1620,467007,SERVEI DE VOLUMINOSOS I ELIMINACIÓ RESIDUS BANALS,19000,0,19000,18239.64
1620,467008,QUOTA MUNICIPIS ADHERITS,26000,0,26000,26631.81
1650,221000,SUBMINISTRAMENT ELÈCTRIC ENLLUMENAT PÚBLIC,180000,0,180000,172949.32
1720,226990,DESPESES FUNCIONAMENT MEDI AMBIENT,5500,600,6100,6182.18
1720,226991,CAMPANYES I ALTRES ACTUACIONS SERVEI MEDI AMBIENT,5000,0,5000,4509.59
1720,467000,APORTACIÓ CONCORCI CONCA RIU BESOS,150,0,150,106.32
2310,130000,RETRIBUCIONS PERSONAL FIXE ACCIO SOCIAL,60000,0,60000,57464.97
2310,131000,RETRIBUCIONS PERSONAL EVENTUAL ACCIO SOCIAL,235000,28000,263000,261137.28
2310,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS SERVEIS SOCIALS,6500,0,6500,5940.21
2310,221020,SUBM.COMBUSTIBLE EDIFICIS DESTINATS S. SOCIALS,4000,0,4000,2269.18
2310,226990,DESPESES SERVEI TELEASSISTÈNCIA,17000,0,17000,18801.99
2310,226991,DESPESES FUNCIONAMENT ACCIÓ SOCIAL,3000,19000,22000,27006.96
2310,226992,DESPESES HOMENATGE GENT GRAN,7000,3200,10200,10206.3
2310,226993,DESPESES FUNCIONAMENT SOLIDARITAT I COOPERAC.,3000,0,3000,1233.5
2310,226994,DESPESES FUNCIONAMENT POLÍTIQUES D'IGUALTAT,1000,0,1000,0
2310,226995,DESPESES DE FUNCIONAMENT CASAL GENT GRAN,4000,2000,6000,7328.59
2310,227990,SERVEI PUNT DONA,7000,1100,8100,9081.3
2310,227991,PRESTACIÓ DE SERVEIS CENTRE DE DISCAPACITATS,225000,18500,243500,243500
2310,227992,SERVEI DE MENJADOR A LES ESCOLES,30000,9000,39000,36266.54
2310,227993,AJUTS MENJADOR ESCOLA BRESSOL,6000,900,6900,5196.05
2310,227995,AJUTS D'ESTADA ESCOLA BRESSOL,18000,0,18000,16175.4
2310,227996,PRESTACIÓ DE SERVEIS PROJECTE SOCIOEDUCATIU EL GALLINER,9600,0,9600,9600.99
2310,449000,APORTACIÓ RESIDÈNCIA CAN DOTRAS,80000,6900,86900,86900
2310,480000,ASSISTÈNCIA SOCIAL,70000,-25000,45000,40973.92
2310,480001,APORTACIÓ FONS DE SOLIDARITAT I COOPERACIÓ,3000,0,3000,1750
2310,480002,BEQUES LLIBRES ESCOLARS,15000,0,15000,4495.7
2310,480003,CONVENI INTERADMINISTRATIU SERVEIS SOCIALS,6000,0,6000,3333.45
2310,480004,ASSOCIACIÓ DE PARES FILLS DISCAPACITATS,2200,0,2200,2200
2310,480005,APORTACIÓ CARITAS,6500,0,6500,6500
2310,480006,ALTRES SUBVENCIONS ACCIÓ SOCIAL,1000,0,1000,0
2310,480008,PROJECTE SUPORT A LA INFÀNCIA,1000,0,1000,0
2310,480009,"ALTRES SUBVENCIONS (Gent Gran, etc)",1000,0,1000,1000
2310,480010,PROJECTES REHABILITACIÓ HABITATGES GENT GRAN,6000,0,6000,0
2310,480011,SUBVENCIÓ IMPOST BÉNS IMMOLBES,24000,-15000,9000,2130.9
2310,480012,AJUTS AL LLOGUER,30000,-17500,12500,1371.31
2310,480013,APORTACIÓ ONCOVALLÈS,1000,0,1000,1000
2310,480014,AJUTS A ESTUDIS UNIVERSITARIS,10000,-6500,3500,0
2410,143000,RETRIBUCIONS PERSONAL PLA OCUPACIONAL I,100,0,100,0
2410,143100,PLA D'EMERGENCIA D'OCUPACIÓ,95000,74000,169000,173226.89
2410,226990,DESPESES FUNCIONAMENT PROMOCIÓ ECONÒMICA,3500,-1500,2000,1531.34
2410,226991,DESPESES DE FOMENT DE L'OCUPACIÓ,2000,7500,9500,11512.15
2410,226992,DESPESES DE FORMACIÓ OCUPACIONAL,50000,-6000,44000,43682.07
2410,227990,PROJECTES DE FORMACIÓ OCUPACIONAL,100,0,100,0
2410,227991,PLA ESTRATEGIC,19000,-6000,13000,12151.49
2410,470000,MESURES ESPECIALS PROMOCIÓ OCUPACIÓ (EMPRESES),30000,-20000,10000,9400
3130,226990,DESPESES FUNCIONAMENT SERVEI SALUT PUBL. COMUNITÀRIA,2000,0,2000,926.98
3130,226991,DESPESES DE FUNCIONAMENT SERVEI DE CONSUM,3000,-2000,1000,0
3130,227990,SERVEIS DE RECOLLIDA D'ANIMALS DOMÈSTICS,4000,0,4000,3801.72
3130,227991,SERVEI DE CONTROL DE COLÒNIES DE GATS,3000,0,3000,3942.47
3130,227992,"SERVEIS DE DESRATITZACIÓ, DESINFECCIÓ, ETC",16000,0,16000,15319.48
3130,227993,PRESTACIÓ SERVEIS INSPECCIÓ LEGIONEL·LOSI,7500,0,7500,8119.1
3200,130000,RETRIBUCIONS PERSONAL FIX ESCOLA D'ADULTS,125100,-4400,120700,119542.83
3200,130001,RETRIBUCIIONS PERSONAL FIX ESCOLA DE MÚSICA,67000,-1200,65800,61796.78
3200,131000,RETRIBUCIONS PERSONAL EVENTUAL ESCOLA DE MÚSICA,90000,19000,109000,109093.14
3200,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS ESCOLARS,45000,0,45000,53506.5
3200,221020,SUBM.COMBUSTIBLE EDIFICIS ESCOLARS,67000,0,67000,51947.47
3200,226990,DESPESES DE FUNCIONAMENT EDUCACIÓ,15000,0,15000,11458.14
3200,226991,DESPESES DE FUNCIONAMENT ESCOLA DE MUSICA,6000,0,6000,6452.46
3200,227990,PRESTACIÓ SERVEIS EDUCATIUS ESCOLA BRESSOL,200000,0,200000,200000
3200,467000,APORTACIÓ CONSORCI ASSOCIAT DE LA UNED,18000,0,18000,18000
3200,468000,SUBVENCIÓ ESCOLA PAU CASALS,8000,0,8000,8000
3200,468001,SUBVENCIÓ ESCOLA SANT JORDI,8000,0,8000,8000
3200,468002,SUBVENCIÓ INSTITUT MONTMELÓ,8500,0,8500,8500
3200,468003,SUBVENCIONS AMPA COL.LEGIS PUBLICS,14500,0,14500,14500
3200,468004,AMPA INSTITUT MONTMELÓ (beca d'estudis),2000,0,2000,2287.12
3200,468005,"FUNDACIÓ PRIVADA CULTURAL DE GRANOLLERS, AC",4200,0,4200,3602.15
3300,130000,RETRIBUCIONS PERSONAL FIXE CULTURA I JOVENTUT,60000,8500,68500,67800.94
3300,131000,RETRIBUCIONS PERSONAL EVENTUAL CULTURA I JOVENTUT,160000,14000,174000,178650.25
3300,221000,SUBMINISTRAMENT ELÈCTRIC DESTINATS S. CULTURALS,40000,0,40000,48367.65
3300,221020,SUBMINISTRAMENT GAS NATURAL EDIFICIS CULTURA,13000,0,13000,12926.6
3300,226990,DESPESES FUNCIONAMENT CULTURA,6000,1000,7000,8086.55
3300,226991,DESPESES FUNCIONAMENT PATRIMONI CULTURAL,15000,1500,16500,16989.19
3300,226992,DESPESES DE MONITORS TALLERS,38000,0,38000,33011.58
3300,226993,FESTA MAJOR,68500,0,68500,70529.83
3300,226994,CARNESTOLTES,12000,700,12700,12604.5
3300,226995,ALTRES FESTES TRADICIONALS,20000,5800,25800,29789.01
3300,226996,CONSUM CULTURAL,24000,18900,42900,52182.92
3300,226997,DESPESES DE FUNCIONAMENT MONS OBSERVANS CAN TACO,3600,1000,4600,5090.4
3300,227000,PRESTACIÓ DE SERVEIS MONS OBSERVANS CAN TACÓ,30500,0,30500,29236.56
3300,467000,APORTACIÓ CONSORCI NORMALITZACIÓ LINGÜÍSTICA,8000,0,8000,7707.18
3300,468000,"L'AGRUPA, ASSOCIACIÓ CULTURAL",1950,0,1950,1950
3300,468001,LUDUS HISTORIAE,1200,0,1200,1200
3300,468002,XARXA,3450,0,3450,3445
3300,468003,PENYA BLAUGRANA DE MONTMELÓ,1950,0,1950,1950
3300,468004,COLLA DE GEGANTERS DE MONTMELÓ,2350,0,2350,2350
3300,468005,ESBART DANSAIRE DE MONTMELÓ,1375,0,1375,1375
3300,468006,COLLA DE DIABLES DE MONTMELÓ,2650,0,2650,2650
3300,468007,ENTITATS ACTIVITATS DE NADAL,1000,0,1000,1000
3300,468008,SUBVENCIÓ ASSOCIACIÓ COMPANYIA DE TEATRE NYAP,500,0,500,0
3300,468009,CENTRE D'ESTUDIS MONTMELÓ,5000,0,5000,5000
3370,226990,DESPESES DE FUNCIONAMENT SERVEI JOVENTUT,10000,0,10000,6799.94
3370,226991,INICIATIVES ACTIVITATS JOVENILS,5000,0,5000,908.24
3370,226992,CASAL D'ESTIU I JOVE,7000,-6400,600,0
3370,226993,PARC DE NADAL,6500,0,6500,7749.23
3370,468000,CIJ ESPLAIA'T,8000,0,8000,8000
3370,468001,ACEM (ASSOCIACIÓ CULTURAL PER A L'ENTRETENIMENT MUSICAL),2000,0,2000,2000
3370,468002,ALTRES SUBVENCIONS DE JOVENTUT,1500,0,1500,1500
3410,130000,RETRIBUCIONS PERSONAL FIXE SERVEI D'ESPORTS,22000,2000,24000,23906.8
3410,131000,RETRIBUCIONS PERSONAL EVENTUAL SERVEI D'ESPORTS,130000,28500,158500,157089.9
3410,221000,SUBMINISTRAMENT ELÈCTRIC EDIFICIS DESTINATS ESPORTS,40000,0,40000,45962.19
3410,221020,SUBM.COMBUSTIBLE EDIFICIS DESTINATS A ESPORTS,27000,0,27000,18486.71
3410,226990,DESPESES DE FUNCIONAMENT ESPORTS,23000,-6000,17000,17992.18
3410,227990,SERVEI PISCINES MUNICIPALS,100,0,100,0
3410,468000,CF MONTMELÓ UE,16000,0,16000,16000
3410,468001,MONTMELÓ CLUB BÀSQUET,5200,0,5200,5200
3410,468002,ASSOCIACIÓ ESPORTIVA MONTMELÓ,4800,0,4800,4800
3410,468003,CLUB ESCACS MONTMELÓ,1200,0,1200,1200
3410,468004,CLUB PETANCA MONTMELÓ,1450,0,1450,1450
3410,468006,PENYA BLAUGRANA MONTMELÓ,3375,0,3375,3375
3410,468008,PENYA PERICOS,400,0,400,400
3410,468009,CLUB BILLAR MONTMELÓ,800,0,800,0
3410,468010,MONTMELÓ ASSOCIACIÓ RÍTMICA,700,0,700,700
3410,468011,CLUB DE BOXA,500,0,500,500
4320,226990,DESPESES DE FUNCIONAMENT SERVEI DE TURISME,1000,0,1000,0
4320,467000,APORTACIÓ CONSORCI PROMOCIÓ DEL TURISME DEL VALLÈS ORIENTAL,300,0,300,0
4390,226990,DESPESES DE FUNCIONAMENT COMERÇ,4000,0,4000,2021.96
4390,226991,DINAMITZACIÓ MERCAT SETMANAL,2000,0,2000,515.38
4390,226992,DESPESES DE FIRES DE COMERÇ I ARTESANIA,6000,0,6000,5267.34
4390,480000,DINAMITZACIÓ COMERCIAL,3000,0,3000,3000
4410,226990,DESPESES DE FUNCIONAMENT MOBILITAT SOSTENIBLE,2000,0,2000,33.66
4410,226991,CAMPANYES FOMENT A LA MOBILITAT SOSTENIBLE,2000,0,2000,0
4410,226992,DESPESES SENYALITZACIÓ CAMINS DE MONTMELÓ,2000,-1500,500,0
4410,227991,PLA DE MOBILITAT,1000,0,1000,0
4590,226090,"DESPESES ACTIVITATS CIRCUIT DE CATALUNYA (G. PREMIS, ETC..)",31000,25000,56000,56875.01
4590,227000,PAGAMENT CANON AIGUA,295000,-14000,281000,280579.49
4590,449000,APORTACIÓ EMPRESA MUNICIPAL DE SERVEIS I OBRES,1604000,204600,1808600,1808600
4590,610200,PROJECTE MILLORA XARXA AIGUA POLÍGON EL PEDREGAR,0,1000847.17,1000847.17,0
4590,770000,CONSTRUCCIÓ DIPÒSIT AIGUA,0,20124.57,20124.57,0
9120,100000,ASSIGNACIONS CARRECS POLITICS,100000,0,100000,108837.33
9120,226010,PROTOCOL ALCALDIA,4000,2500,6500,7142.08
9120,230000,DIETES ÒRGANS DE GOVERN,500,0,500,4.85
9120,231000,DESPESES LOCOMOCIÓ ÒRGANS DE GOVERN,500,0,500,734.66
9200,120000,BASIQUES FUNCIONARIS SERVEIS GENERALS,72000,0,72000,71397.12
9200,121000,COMPLEMENT. FUNCIONARIS SERVEIS GENERALS,145000,12500,157500,157182.09
9200,130000,RETRIBUCIONS PERSONAL FIXE SERVEIS GENERALS,405000,-31500,373500,369440.48
9200,131000,RETRIBUCIONS PERSONAL EVENTUAL SERVEIS GENERALS,64000,42000,106000,105936.58
9200,151000,GRATIFICACIONS HORES EXTRES,10000,45500,55500,58546.12
9200,151100,PAGA EXTRA MERITADA 2012,58500,-58500,0,0
9200,160000,QUOTES CORPORACIO SEGURETAT SOCIAL,871600,-80000,791600,783412.56
9200,162000,FORMACIO I PERFECCIONAMENT PERSONAL FUNC,1500,0,1500,1219.2
9200,162001,FORMACIO I PERFECCIONAMENT PERSONAL LABORAL,1000,0,1000,2398.46
9200,162090,ALTRES DESPESES SOCIALS,3000,11500,14500,13270.82
9200,202000,LLOGUERS IMMOBLES,16000,700,16700,15891.04
9200,204000,RÈNTING VEHICLES MUNICIPALS,43000,0,43000,42888.01
9200,204100,RÈNTING ENLLUMENAT PÚBLIC,30000,-30000,0,0
9200,206000,"RÈNTING INFORMÀTICA, EQUIPS OFICINA, ETC",16700,-4200,12500,12197.85
9200,216000,MANTENIMENT DEL SISTEMA INFORMÀTIC,5750,-4000,1750,775.27
9200,219000,ESTRIS I CONSERVACIÓ MATERIAL SERVEIS GENERALS,1000,0,1000,835.55
9200,220000,MATERIAL D'OFICINA SERVEIS GENERALS,9000,0,9000,9176.29
9200,220010,"LLIBRES, REVISTES I ALTRES PUBLICACIONS",1000,0,1000,686.16
9200,220020,MATERIAL INFORMÀTIC NO INVENTARIABLE,1000,1800,2800,3363.69
9200,221000,SUBMINISTRAMENT ELÈCTRIC DEPENDÈNCIES S. GENERALS,37000,0,37000,30504.61
9200,221001,SUBMINISTRAMENT ELÈCTRIC ALTRES DEPENDÈNCIES,17000,4500,21500,22320.21
9200,221020,SUBM.COMBUSTIBLE DEPENDÈNCIES SERVEIS GENERALS,13000,0,13000,9722.41
9200,221040,VESTUARI,1000,300,1300,1623.08
9200,222000,"TELÈFONS, FAX I CORREU",44000,-22200,21800,20085.57
9200,222990,SERVEIS DE MISSATGERS,16500,0,16500,18583.59
9200,224000,ASSEGURANCES PARC MÒBIL,2000,0,2000,1795.67
9200,224001,ASSEGURANCES EDIFICIS,6000,0,6000,6026.48
9200,224002,ASSEGURANCES RESPONSABILITAT CIVIL,10000,0,10000,10000
9200,224003,ASSEGURANCES PERSONAL,4800,0,4800,4737.25
9200,224004,ALTRES ASSEGURANCES,6200,1300,7500,7492.69
9200,226030,ANUNCIS EN BUTLLETINS OFICIALS  I MITJANS COMUNICACIÓ,3000,0,3000,3068.03
9200,226040,"HONORARIS SERVEIS JURÍDICS, NOTARIALS I REGISTRALS",25000,46000,71000,72829.32
9200,226990,DESPESES FUNCIONAMENT SERVEIS GENERALS,10000,1500,11500,11569.43
9200,226991,DESPESES COMUNITATS DE PROPIETARIS,5000,0,5000,2819.52
9200,226992,"DESPESES SINISTRES VIA PÚBLICA, VEHICLES, ETC.",6000,-1800,4200,3267.07
9200,226993,DESPESES FUNCIONAMENT URBANISME,1500,0,1500,822.48
9200,226994,DESPESES PER EXECUCIO SUBSIDIÀRIA D'OBRES,6000,-1000,5000,4780
9200,227000,DESPESES DE PARTICIPACIÓ CIUTADANA,18000,0,18000,16092.2
9200,227080,SERVEIS DE RECAPTACIÓ ORGANISME AUTÒNOM,150000,0,150000,160305.06
9200,227990,CONTRACTES DE MANTENIMENT DIVERSOS SERVEIS,143000,14000,157000,164590.62
9200,227991,SERVEIS D'ADMINISTRACIÓ GENERAL,21000,0,21000,20699.21
9200,227992,SERVEIS MANTENIMENT SISTEMA INFORMÀTIC,43000,6000,49000,50709.21
9200,227993,SERVEI MANTENIMENT EQUIPS MULTIFUNCIÓ,20000,0,20000,17153.31
9200,227994,ALTRES SERVEIS INFORMÀTICS,38000,0,38000,37884.41
9200,227995,PREVENCIÓ DE SALUT I RISCOS LABORALS,10000,-2700,7300,7290.21
9200,227996,DESPESES SERVEIS CREU ROJA,100,0,100,0
9200,227997,PLANS AUTOPROTECCIÓ,5000,0,5000,0
9200,230200,DIETES PERSONAL ADMINISTRACIÓ GENERAL,500,0,500,36.6
9200,231200,DESPESES LOCOMOCIÓ ADMINISTRACIÓ GENERAL,2000,0,2000,3107.29
9200,462000,ALTRES SUBVENCIONS ADMINISTRACIONS LOCALS,100,0,100,0
9200,466000,FEDERACIÓ DE MUNICIPIS DE CATALUNYA,1800,0,1800,1761.89
9200,466001,ASSOCIACIÓ CATALANA DE MUNICIPIS I COMARQUES,1500,0,1500,1493
9200,480000,SUBVENCIÓ GRUPS POLÍTICS MUNICIPALS,45600,0,45600,45600
9200,480003,TRANSFERÈNCIA HABITAPARETS,7600,0,7600,7565.26
9200,480004,SUBVENCIÓ ASSOCIACIÓ DESOCUPATS DE MONTMELO,100,0,100,0
9200,480005,SUBVENCIO BANC DEL TEMPS,500,0,500,500
9200,480006,ALTRES SUBVENCIONS ENTITATS,2400,0,2400,1995
9200,610000,INVERSIONS 2014,200000,537935,737935,633423.61
9200,610500,ANELLA VERDA,0,23875,23875,0
9200,619000,PROJECTE AMPLIACIÓ CAN DOTRAS,0,30250,30250,30250
9200,632000,TANCAMENT PISTA ESPORTIVA,0,296605,296605,0
9200,632100,CENTRE JUVENIL,0,215540,215540,93686.62
9240,226020,"PUBLICITAT, PROPAGANDA, BUTLLETINS, CALENDARIS I ALTRES",25000,-6000,19000,18126.08
9240,226990,DESPESES DE FUNCIONAMENT SERVEI DE COMUNICACIÓ,1000,0,1000,968
9240,226991,PRESTACIÓ SERVEIS DISSENY I  COMUNICACIÓ,21000,0,21000,19992
9240,467000,APORTACIÓ CONSORCI LOCALRET,1100,0,1100,1047.74
9240,467001,APORTACIÓ CONSORCI TELEDIGITAL MOLLET,81500,1300,82800,82709.5
9290,270000,FONS DE CONTINGENCIA,181250,-181200,50,0
#,,,11367200,2162776.74,13529976.74,11676220.22
